Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Kenta Maeda (12739827),Kenta Maeda,12739827,P,10300,PHI@LAD 05/31/2019 10:10PM ET,LAD,17.72
SP,Brad Peacock (12739847),Brad Peacock,12739847,P,9900,HOU@OAK 05/31/2019 10:07PM ET,HOU,16.72
SP,Garrett Richards (12739887),Garrett Richards,12739887,P,9900,MIA@SD 05/31/2019 10:10PM ET,SD,0
SP,Forrest Whitley (12740262),Forrest Whitley,12740262,P,9800,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
SP,Caleb Smith (12740133),Caleb Smith,12740133,P,9700,MIA@SD 05/31/2019 10:10PM ET,MIA,19.18
SP,Jesus Luzardo (12740270),Jesus Luzardo,12740270,P,9400,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SP,Jose Suarez (12740212),Jose Suarez,12740212,P,9200,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
SP,Andrew Triggs (12739981),Andrew Triggs,12739981,P,8900,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SP,Logan Allen (12740234),Logan Allen,12740234,P,8800,MIA@SD 05/31/2019 10:10PM ET,SD,0
SP,Joey Lucchesi (12740269),Joey Lucchesi,12740269,P,8800,MIA@SD 05/31/2019 10:10PM ET,SD,15.88
SP,John Lamb (12739863),John Lamb,12739863,P,8800,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
SP,Lance McCullers Jr. (12740060),Lance McCullers Jr.,12740060,P,8600,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
SP,Jake Arrieta (12739831),Jake Arrieta,12739831,P,8600,PHI@LAD 05/31/2019 10:10PM ET,PHI,16.64
SP,Yadier Alvarez (12740209),Yadier Alvarez,12740209,P,8600,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
SP,Tyler Skaggs (12739886),Tyler Skaggs,12739886,P,8400,LAA@SEA 05/31/2019 10:10PM ET,LAA,14.53
SP,Jharel Cotton (12740042),Jharel Cotton,12740042,P,8300,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SP,Jacob Nix (12740171),Jacob Nix,12740171,P,8300,MIA@SD 05/31/2019 10:10PM ET,SD,0
SP,Sean Manaea (12740097),Sean Manaea,12740097,P,8200,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SP,Grant Holmes (12740163),Grant Holmes,12740163,P,8100,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SP,Rogelio Armenteros (12740245),Rogelio Armenteros,12740245,P,8100,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
SP,Brett Kennedy (12740238),Brett Kennedy,12740238,P,8100,MIA@SD 05/31/2019 10:10PM ET,SD,0
SP,Dallas Keuchel (12739898),Dallas Keuchel,12739898,P,7900,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
SP,JoJo Romero (12740268),JoJo Romero,12740268,P,7900,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
SP,Mike Fiers (12739910),Mike Fiers,12739910,P,7700,HOU@OAK 05/31/2019 10:07PM ET,OAK,11.79
SP,Justin Dunn (12740132),Justin Dunn,12740132,P,7700,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
SP,Ariel Miranda (12740246),Ariel Miranda,12740246,P,7700,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
SP,Adonis Medina (12740199),Adonis Medina,12740199,P,7600,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
SP,Dustin May (12740271),Dustin May,12740271,P,7600,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
SP,Brandon Bielak (12740258),Brandon Bielak,12740258,P,7500,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
SP,Jordan Yamamoto (12740174),Jordan Yamamoto,12740174,P,7500,MIA@SD 05/31/2019 10:10PM ET,MIA,0
SP,Daniel Gossett (12740028),Daniel Gossett,12740028,P,7400,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SP,Nick Neidert (12740228),Nick Neidert,12740228,P,7400,MIA@SD 05/31/2019 10:10PM ET,MIA,0
SP,Robert Dugger (12740275),Robert Dugger,12740275,P,7300,MIA@SD 05/31/2019 10:10PM ET,MIA,0
