Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Kawhi Leonard (12740908),Kawhi Leonard,12740908,CPT,17700,GS@TOR 06/02/2019 08:00PM ET,TOR,46.87
PG,Stephen Curry (12740909),Stephen Curry,12740909,CPT,17400,GS@TOR 06/02/2019 08:00PM ET,GS,46.57
SF,Kevin Durant (12740910),Kevin Durant,12740910,CPT,16500,GS@TOR 06/02/2019 08:00PM ET,GS,46.91
PF,Draymond Green (12740911),Draymond Green,12740911,CPT,15600,GS@TOR 06/02/2019 08:00PM ET,GS,33.76
PF,Pascal Siakam (12740912),Pascal Siakam,12740912,CPT,14700,GS@TOR 06/02/2019 08:00PM ET,TOR,33.76
SG,Klay Thompson (12740913),Klay Thompson,12740913,CPT,12600,GS@TOR 06/02/2019 08:00PM ET,GS,33.71
SF,Kawhi Leonard (12740875),Kawhi Leonard,12740875,UTIL,11800,GS@TOR 06/02/2019 08:00PM ET,TOR,46.87
PG,Stephen Curry (12740876),Stephen Curry,12740876,UTIL,11600,GS@TOR 06/02/2019 08:00PM ET,GS,46.57
PG,Kyle Lowry (12740914),Kyle Lowry,12740914,CPT,11400,GS@TOR 06/02/2019 08:00PM ET,TOR,36.47
SF,Kevin Durant (12740877),Kevin Durant,12740877,UTIL,11000,GS@TOR 06/02/2019 08:00PM ET,GS,46.91
C,Marc Gasol (12740915),Marc Gasol,12740915,CPT,10500,GS@TOR 06/02/2019 08:00PM ET,TOR,32.94
PF,Draymond Green (12740878),Draymond Green,12740878,UTIL,10400,GS@TOR 06/02/2019 08:00PM ET,GS,33.76
PF,Pascal Siakam (12740879),Pascal Siakam,12740879,UTIL,9800,GS@TOR 06/02/2019 08:00PM ET,TOR,33.76
PF,Kevon Looney (12740916),Kevon Looney,12740916,CPT,9300,GS@TOR 06/02/2019 08:00PM ET,GS,17.24
PG,Fred VanVleet (12740917),Fred VanVleet,12740917,CPT,8700,GS@TOR 06/02/2019 08:00PM ET,TOR,21.8
SG,Klay Thompson (12740880),Klay Thompson,12740880,UTIL,8400,GS@TOR 06/02/2019 08:00PM ET,GS,33.71
PF,DeMarcus Cousins (12740918),DeMarcus Cousins,12740918,CPT,8100,GS@TOR 06/02/2019 08:00PM ET,GS,35.11
PG,Kyle Lowry (12740881),Kyle Lowry,12740881,UTIL,7600,GS@TOR 06/02/2019 08:00PM ET,TOR,36.47
SG,Danny Green (12740919),Danny Green,12740919,CPT,7500,GS@TOR 06/02/2019 08:00PM ET,TOR,20.68
C,Marc Gasol (12740882),Marc Gasol,12740882,UTIL,7000,GS@TOR 06/02/2019 08:00PM ET,TOR,32.94
SF,Andre Iguodala (12740920),Andre Iguodala,12740920,CPT,6900,GS@TOR 06/02/2019 08:00PM ET,GS,19.79
PF,Serge Ibaka (12740921),Serge Ibaka,12740921,CPT,6300,GS@TOR 06/02/2019 08:00PM ET,TOR,28.42
PF,Kevon Looney (12740883),Kevon Looney,12740883,UTIL,6200,GS@TOR 06/02/2019 08:00PM ET,GS,17.24
PG,Fred VanVleet (12740884),Fred VanVleet,12740884,UTIL,5800,GS@TOR 06/02/2019 08:00PM ET,TOR,21.8
PF,DeMarcus Cousins (12740885),DeMarcus Cousins,12740885,UTIL,5400,GS@TOR 06/02/2019 08:00PM ET,GS,35.11
SG,Danny Green (12740886),Danny Green,12740886,UTIL,5000,GS@TOR 06/02/2019 08:00PM ET,TOR,20.68
PG,Shaun Livingston (12740922),Shaun Livingston,12740922,CPT,4800,GS@TOR 06/02/2019 08:00PM ET,GS,10.21
SF,Andre Iguodala (12740887),Andre Iguodala,12740887,UTIL,4600,GS@TOR 06/02/2019 08:00PM ET,GS,19.79
PF,Serge Ibaka (12740888),Serge Ibaka,12740888,UTIL,4200,GS@TOR 06/02/2019 08:00PM ET,TOR,28.42
SF,Norman Powell (12740923),Norman Powell,12740923,CPT,4200,GS@TOR 06/02/2019 08:00PM ET,TOR,15.37
PF,Alfonzo McKinnie (12740924),Alfonzo McKinnie,12740924,CPT,3300,GS@TOR 06/02/2019 08:00PM ET,GS,9.97
